uri,name,type,n_variable,n_words,n_words_unique,n_characters,avg_char_per_word,n_loop,n_ifthen,arg_name,arg_type,arg_value,line,docs,list_functions,n_functions
example/test.py:global_pars_update,global_pars_update,function,20,48,33,960,20.0,0,0,"['model_dict', 'data_name', 'config_name']","[None, None, None]","[None, None, None]",28,[],[],0
example/test.py:titanic1,titanic1,function,9,99,64,908,9.17,0,0,['path_model_out'],[None],"['""""']",89,"['    """"""\n', '       Contains all needed informations for Light GBM Classifier model,\n', '       used for titanic classification task\n', '    """"""\n']","['os_get_function_name', 'post_process_fun', 'int', 'pre_process_fun']",4
example/test.py:data_profile,data_profile,function,4,12,12,143,11.92,0,0,"['path_data_train', 'path_model', 'n_sample']","[None, None, None]","['""""', '""""', ' 5000']",188,[],['run_profile'],1
example/test.py:preprocess,preprocess,function,13,33,26,312,9.45,0,1,"['config', 'nsample']","[None, None]","['None', 'None']",198,[],"['globals', 'print', 'run_preprocess.run_preprocess']",3
example/test.py:train,train,function,13,32,25,276,8.62,0,1,"['config', 'nsample']","[None, None]","['None', 'None']",215,[],"['globals', 'print', 'run_train.run_train']",3
example/test.py:check,check,function,0,1,1,4,4.0,0,0,[],[],[],231,[],[],0
example/test.py:predict,predict,function,12,37,30,355,9.59,0,1,"['config', 'nsample']","[None, None]","['None', 'None']",239,[],"['globals', 'run_inference.run_predict']",2
example/test.py:run_all,run_all,function,5,5,5,53,10.6,0,0,[],[],[],257,[],"['data_profile', 'preprocess', 'train', 'check', 'predict']",5
example/test_automl.py:global_pars_update,global_pars_update,function,22,62,47,1124,18.13,0,0,"['model_dict', 'data_name', 'config_name']","[None, None, None]","[None, None, None]",49,[],['print'],1
example/test_automl.py:config1,config1,function,10,186,111,1613,8.67,0,0,[],[],[],106,"['    """"""      ONE SINGLE DICT Contains all needed informations for\n', '    """"""\n']","['post_process_fun', 'int', 'pre_process_fun', 'global_pars_update', 'config_name=os_get_function_name']",5
example/test_features.py:global_pars_update,global_pars_update,function,21,55,40,1028,18.69,0,0,"['model_dict', 'data_name', 'config_name']","[None, None, None]","[None, None, None]",22,[],['print'],1
example/test_features.py:config1,config1,function,8,247,151,2499,10.12,0,0,['path_model_out'],[None],"['""""']",138,"['    """"""\n', '       Contains all needed informations\n', '    """"""\n']","['os_get_function_name', 'post_process_fun', 'int', 'pre_process_fun']",4
example/test_features.py:config2,config2,function,8,104,78,1072,10.31,0,0,['path_model_out'],[None],"['""""']",255,"['    """"""\n', '       Contains all needed informations\n', '    """"""\n']","['os_get_function_name', 'post_process_fun', 'int', 'pre_process_fun']",4
example/test_features.py:config4,config4,function,8,80,64,726,9.07,0,0,['path_model_out'],[None],"['""""']",322,"['    """"""\n', '\n', '    """"""\n']","['os_get_function_name', 'post_process_fun', 'int', 'pre_process_fun']",4
example/test_features.py:config9,config9,function,8,102,82,998,9.78,0,0,['path_model_out'],[None],"['""""']",403,"['    """"""\n', '       python  example/test_features.py  train       --nsample 500 --config config1\n', '    """"""\n']","['os_get_function_name', 'post_process_fun', 'int', 'pre_process_fun']",4
example/test_features.py:pd_col_amyfun,pd_col_amyfun,function,29,79,64,556,7.04,1,1,"['df', 'col', 'pars']","[' pd.DataFrame', ' list', ' dict']","[None, 'None', 'None']",472,"['    """"""\n', '    Example of custom Processor\n', '    Used at prediction time\n', '        ""path_pipeline""  :\n', '\n', '    Training time :\n', '        ""path_features_store"" :  to store intermediate dataframe\n', '        ""path_pipeline_export"":  to store pipeline  for later usage\n', '\n', '    """"""\n']","['prepro_load', 'prepro', 'list', 'prepro_save']",4
example/test_features.py:config3,config3,function,8,80,64,726,9.07,0,0,['path_model_out'],[None],"['""""']",559,"['    """"""\n', '       Contains all needed informations\n', '    """"""\n']","['os_get_function_name', 'post_process_fun', 'int', 'pre_process_fun']",4
example/test_hyperopt.py:global_pars_update,global_pars_update,function,21,56,41,1028,18.36,0,0,"['model_dict', 'data_name', 'config_name']","[None, None, None]","[None, None, None]",22,[],['print'],1
example/test_hyperopt.py:post_process_fun,post_process_fun,function,6,77,55,687,8.92,0,0,['y)'],[' return  int(y)y):  return  int(y)path_model_out'],"['"""") :']",79,"['    """""" One big dict\n', '    """"""\n']",['os_get_function_name'],1
example/test_hyperopt.py:pre_process_fun,pre_process_fun,function,6,77,55,687,8.92,0,0,['y)'],['  return  int(y)path_model_out'],"['"""") :']",80,"['    """""" One big dict\n', '    """"""\n']",['os_get_function_name'],1
example/test_hyperopt.py:titanic1,titanic1,function,6,77,55,687,8.92,0,0,['path_model_out'],[None],"['""""']",82,"['    """""" One big dict\n', '    """"""\n']",['os_get_function_name'],1
example/test_hyperopt.py:hyperparam,hyperparam,function,29,145,121,1603,11.06,0,1,"['config_full', 'ntrials', 'n_sample', 'debug', 'path_output         ', 'path_optuna_storage ']","[None, None, None, None, None, None]","['""""', '2', '5000', '1', ' ""data/output/titanic1/""', "" 'data/output/optuna_hyper/optunadb.db'""]",142,"['    """"""\n', '        python test_hyperopt.py  hyperparam  --ntrials 2\n', '    """"""\n']","['hyperparam_wrapper', 'config_full.split', 'load_function_uri', 'mdict', 'objective_fun', 'log', 'run_train', 'run_hyper_optuna', 'os.makedirs', 'json.dump', 'open']",11
example/test_hyperopt.py:hyperparam_wrapper,hyperparam_wrapper,function,24,72,63,892,12.39,0,1,"['config_full', 'ntrials', 'n_sample', 'debug', 'path_output         ', 'path_optuna_storage ', 'metric_name', 'mdict_range']","[None, None, None, None, None, None, None, None]","['""""', '2', '5000', '1', ' ""data/output/titanic1/""', "" 'data/output/optuna_hyper/optunadb.db'"", ""'accuracy_score'"", 'None']",188,[],"['config_full.split', 'load_function_uri', 'mdict', 'objective_fun', 'log', 'run_train', 'run_hyper_optuna', 'os.makedirs', 'json.dump', 'open']",10
example/test_mkeras.py:global_pars_update,global_pars_update,function,22,62,47,1124,18.13,0,0,"['model_dict', 'data_name', 'config_name']","[None, None, None]","[None, None, None]",20,[],['print'],1
example/test_mkeras.py:config1,config1,function,8,177,99,1636,9.24,0,0,[],[],[],77,"['    """"""\n', '       ONE SINGLE DICT Contains all needed informations for  used for titanic classification task\n', '    """"""\n']","['post_process_fun', 'int', 'pre_process_fun', 'global_pars_update', 'config_name=os_get_function_name']",5
example/zfraud.py:global_pars_update,global_pars_update,function,19,53,38,1016,19.17,0,0,"['model_dict', 'data_name', 'config_name']","[None, None, None]","[None, None, None]",37,[],['print'],1
source/prepro.py:log,log,function,4,16,10,118,7.38,0,2,['*s'],[None],[None],15,[],"['print', 'log2', 'log3']",3
source/prepro.py:log2,log2,function,2,6,6,35,5.83,0,1,['*s'],[None],[None],18,[],['print'],1
source/prepro.py:log3,log3,function,2,6,6,35,5.83,0,1,['*s'],[None],[None],21,[],['print'],1
source/prepro.py:os_makedirs,os_makedirs,function,2,8,8,163,20.38,0,1,['dir_or_file'],[None],[None],24,[],['os.makedirs'],1
source/prepro.py:log4,log4,function,3,18,14,142,7.89,0,2,"['*s', 'n', 'm']","[None, None, None]","[None, '0', '1']",37,[],"['print', 'log4_pd', 'df.head', 'df.reset_index']",4
source/prepro.py:log4_pd,log4_pd,function,2,9,9,76,8.44,0,1,"['name', 'df', '*s']","[None, None, None]","[None, None, None]",41,[],"['print', 'df.head', 'df.reset_index']",3
source/prepro.py:_pd_colnum,_pd_colnum,function,10,19,17,185,9.74,2,0,"['df', 'col', 'pars']","[None, None, None]","[None, None, None]",45,[],['_pd_colnum_fill_na_median'],1
source/prepro.py:_pd_colnum_fill_na_median,_pd_colnum_fill_na_median,function,3,6,6,78,13.0,1,0,"['df', 'col', 'pars']","[None, None, None]","[None, None, None]",51,[],[],0
source/prepro.py:prepro_load,prepro_load,function,7,27,17,283,10.48,0,1,"['prefix', 'pars']","[None, None]","[None, None]",60,"['    """"""  Load previously savec preprocessors\n', '    :param prefix:\n', '    :param pars:\n', '    :return:\n', '    """"""\n']",['load'],1
source/prepro.py:prepro_save,prepro_save,function,17,58,44,519,8.95,1,2,"['prefix', 'pars', 'df_new', 'cols_new', 'prepro']","[None, None, None, None, None]","[None, None, None, None, None]",77,"['    """"""  Save preprocessors and export\n', '    :param prefix:\n', '    :param pars:\n', '    :param df_new:\n', '    :param cols_new:\n', '    :param prepro:\n', '    :param pars_prepro:\n', '    :return:\n', '    """"""\n']","['pars.items', 'isinstance', 'save', 'pars.get']",4
source/prepro.py:pd_col_atemplate,pd_col_atemplate,function,23,61,51,443,7.26,0,1,"['df', 'col', 'pars']","[' pd.DataFrame', ' list', ' dict']","[None, 'None', 'None']",107,"['    """"""\n', '    Example of custom Processor\n', '    Used at prediction time\n', '        ""path_pipeline""  :\n', '\n', '    Training time :\n', '        ""path_features_store"" :  to store intermediate dataframe\n', '        ""path_pipeline_export"":  to store pipeline  for later usage\n', '\n', '    """"""\n']","['prepro_load', 'prepro', 'list', 'prepro_save']",4
source/prepro.py:pd_coly_clean,pd_coly_clean,function,12,25,23,282,11.28,0,1,"['df', 'col', 'pars']","[' pd.DataFrame', ' list', ' dict']","[None, 'None', 'None']",148,[],"['log', 'pars.get', 'y_norm_fun', 'save_features']",4
source/prepro.py:pd_coly,pd_coly,function,28,105,67,1010,9.62,0,3,"['df', 'col', 'pars']","[' pd.DataFrame', ' list', ' dict']","[None, 'None', 'None']",163,[],"['log', 'pars.get', 'y_norm_fun', 'save_features', 'pd_coly', 'isfloat', 'float', 'log2']",8
source/prepro.py:pd_colnum_normalize,pd_colnum_normalize,function,24,109,85,1079,9.9,0,3,"['df', 'col', 'pars']","[' pd.DataFrame', ' list', ' dict']","[None, 'None', 'None']",200,"['    """""" Float num INTO [0,1]\n', ""      'quantile_cutoff', 'quantile_cutoff_2', 'minmax'      \n"", ""      'name': 'fillna', 'na_val' : 0.0 \n"", '\n', '    """"""\n']","['log2', 'load', 'pd_normalize_fun', 'log3', 'dfnum_norm.head', 'dfnum_norm.isna', 'save_features', 'save', 'pars.get']",9
source/prepro.py:pd_colnum_quantile_norm,pd_colnum_quantile_norm,function,47,235,139,2343,9.97,1,7,"['df', 'col', 'pars']","[' pd.DataFrame', ' list', ' dict']","[None, 'None', 'None']",236,"['  """"""\n', '     colnum normalization by quantile\n', '  """"""\n']","['load', 'pars2.get', 'df.quantile', 'pd.DataFrame', 'len', 'np.where', 'list', 'save_features', 'save', 'pars.get']",10
