PyGithub/github/AccessToken.py:AccessToken:__repr__, method, self.get__repr__, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:get__repr__
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:hireable, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:html_url, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:id, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:location, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:login, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:name, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:node_id, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:organizations_url, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:owned_private_repos, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:plan, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:private_gists, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:public_gists, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:public_repos, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:received_events_url, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:repos_url, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:site_admin, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:starred_url, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:subscriptions_url, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:total_private_repos, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:type, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:updated_at, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:url, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:add_to_emails, method, all, [BUILT_IN], , [BUILT_IN]: all
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:add_to_following, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:add_to_starred, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:add_to_subscriptions, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:add_to_watched, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:create_authorization, method, all, [BUILT_IN], , [BUILT_IN]: all
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:create_authorization, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:create_authorization, method, dict, [BUILT_IN], , [BUILT_IN]: dict
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:create_fork, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:create_gist, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:create_gist, method, all, [BUILT_IN], , [BUILT_IN]: all
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:create_gist, method, files.values, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: files:values
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:create_gist, method, files.items, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: files:items
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:create_key, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:create_project, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:create_repo, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:edit, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:edit, method, dict, [BUILT_IN], , [BUILT_IN]: dict
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:edit, method, self._useAttributes, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_useAttributes
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:get_authorization, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:get_authorization, method, get_authorizations, , , get_authorizations
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:get_emails, method, namedtuple, [FUNC] [SIDE_PACKAGE], C:/Python39/lib/collections, [FUNC] [SIDE_PACKAGE]: collections.namedtuple
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:get_gists, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:get_gists, method, dict, [BUILT_IN], , [BUILT_IN]: dict
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:get_gists, method, since.strftime, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: since:strftime
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:get_issues, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:get_issues, method, all, [BUILT_IN], , [BUILT_IN]: all
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:get_issues, method, dict, [BUILT_IN], , [BUILT_IN]: dict
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:get_issues, method, since.strftime, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: since:strftime
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:get_user_issues, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:get_user_issues, method, all, [BUILT_IN], , [BUILT_IN]: all
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:get_user_issues, method, dict, [BUILT_IN], , [BUILT_IN]: dict
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:get_user_issues, method, since.strftime, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: since:strftime
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:get_key, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:get_key, method, get_keys, , , get_keys
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:get_notification, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:get_notification, method, get_notifications, , , get_notifications
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:get_notifications, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:get_notifications, method, dict, [BUILT_IN], , [BUILT_IN]: dict
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:get_notifications, method, since.strftime, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: since:strftime
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:get_notifications, method, before.strftime, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: before:strftime
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:get_organization_events, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:get_repo, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:get_repo, method, get_repos, , , get_repos
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:get_repos, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:get_repos, method, dict, [BUILT_IN], , [BUILT_IN]: dict
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:get_starred, method, get_starred_gists, , , get_starred_gists
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:has_in_following, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:has_in_starred, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:has_in_subscriptions, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:has_in_watched, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:mark_notifications_as_read, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:mark_notifications_as_read, method, last_read_at.strftime, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: last_read_at:strftime
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:remove_from_emails, method, all, [BUILT_IN], , [BUILT_IN]: all
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:remove_from_following, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:remove_from_starred, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:remove_from_subscriptions, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:remove_from_watched, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:accept_invitation, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:create_migration, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:create_migration, method, all, [BUILT_IN], , [BUILT_IN]: all
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:get_organization_membership, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:_useAttributes, method, self._makeStringAttribute, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_makeStringAttribute
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:_useAttributes, method, self._makeIntAttribute, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_makeIntAttribute
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:_useAttributes, method, self._makeDatetimeAttribute, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_makeDatetimeAttribute
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:_useAttributes, method, self._makeBoolAttribute, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_makeBoolAttribute
PyGithub/github/AuthenticatedUser.py:AuthenticatedUser:_useAttributes, method, self._makeClassAttribute, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_makeClassAttribute
PyGithub/github/Authorization.py:Authorization:__repr__, method, self.get__repr__, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:get__repr__
PyGithub/github/Authorization.py:Authorization:app, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/Authorization.py:Authorization:created_at, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/Authorization.py:Authorization:id, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/Authorization.py:Authorization:note, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/Authorization.py:Authorization:note_url, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/Authorization.py:Authorization:scopes, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/Authorization.py:Authorization:token, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/Authorization.py:Authorization:updated_at, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/Authorization.py:Authorization:url, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/Authorization.py:Authorization:edit, method, all, [BUILT_IN], , [BUILT_IN]: all
PyGithub/github/Authorization.py:Authorization:edit, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/Authorization.py:Authorization:edit, method, dict, [BUILT_IN], , [BUILT_IN]: dict
PyGithub/github/Authorization.py:Authorization:edit, method, self._useAttributes, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_useAttributes
PyGithub/github/Authorization.py:Authorization:_useAttributes, method, self._makeClassAttribute, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_makeClassAttribute
PyGithub/github/Authorization.py:Authorization:_useAttributes, method, self._makeDatetimeAttribute, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_makeDatetimeAttribute
PyGithub/github/Authorization.py:Authorization:_useAttributes, method, self._makeIntAttribute, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_makeIntAttribute
PyGithub/github/Authorization.py:Authorization:_useAttributes, method, self._makeStringAttribute, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_makeStringAttribute
PyGithub/github/Authorization.py:Authorization:_useAttributes, method, self._makeListOfStringsAttribute, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_makeListOfStringsAttribute
PyGithub/github/AuthorizationApplication.py:AuthorizationApplication:__repr__, method, self.get__repr__, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:get__repr__
PyGithub/github/AuthorizationApplication.py:AuthorizationApplication:name, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/AuthorizationApplication.py:AuthorizationApplication:url, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/AuthorizationApplication.py:AuthorizationApplication:_useAttributes, method, self._makeStringAttribute, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_makeStringAttribute
PyGithub/github/Branch.py:Branch:__repr__, method, self.get__repr__, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:get__repr__
PyGithub/github/Branch.py:Branch:_useAttributes, method, self._makeClassAttribute, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_makeClassAttribute
PyGithub/github/Branch.py:Branch:_useAttributes, method, self._makeStringAttribute, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_makeStringAttribute
PyGithub/github/Branch.py:Branch:_useAttributes, method, self._makeBoolAttribute, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_makeBoolAttribute
PyGithub/github/Branch.py:Branch:edit_protection, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/Branch.py:Branch:edit_protection, method, all, [BUILT_IN], , [BUILT_IN]: all
PyGithub/github/Branch.py:Branch:edit_required_status_checks, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/Branch.py:Branch:edit_required_status_checks, method, all, [BUILT_IN], , [BUILT_IN]: all
PyGithub/github/Branch.py:Branch:edit_required_pull_request_reviews, method, all, [BUILT_IN], , [BUILT_IN]: all
PyGithub/github/Branch.py:Branch:edit_required_pull_request_reviews, method, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
PyGithub/github/Branch.py:Branch:add_user_push_restrictions, method, all, [BUILT_IN], , [BUILT_IN]: all
PyGithub/github/Branch.py:Branch:replace_user_push_restrictions, method, all, [BUILT_IN], , [BUILT_IN]: all
PyGithub/github/Branch.py:Branch:remove_user_push_restrictions, method, all, [BUILT_IN], , [BUILT_IN]: all
PyGithub/github/Branch.py:Branch:add_team_push_restrictions, method, all, [BUILT_IN], , [BUILT_IN]: all
PyGithub/github/Branch.py:Branch:replace_team_push_restrictions, method, all, [BUILT_IN], , [BUILT_IN]: all
PyGithub/github/Branch.py:Branch:remove_team_push_restrictions, method, all, [BUILT_IN], , [BUILT_IN]: all
PyGithub/github/BranchProtection.py:BranchProtection:__repr__, method, self.get__repr__, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:get__repr__
PyGithub/github/BranchProtection.py:BranchProtection:url, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/BranchProtection.py:BranchProtection:required_status_checks, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/BranchProtection.py:BranchProtection:enforce_admins, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/BranchProtection.py:BranchProtection:required_pull_request_reviews, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/BranchProtection.py:BranchProtection:_useAttributes, method, self._makeStringAttribute, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_makeStringAttribute
PyGithub/github/BranchProtection.py:BranchProtection:_useAttributes, method, self._makeClassAttribute, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_makeClassAttribute
PyGithub/github/BranchProtection.py:BranchProtection:_useAttributes, method, self._makeBoolAttribute, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_makeBoolAttribute
PyGithub/github/CheckRun.py:CheckRun:__repr__, method, self.get__repr__, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:get__repr__
PyGithub/github/CheckRun.py:CheckRun:app, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/CheckRun.py:CheckRun:check_suite_id, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/CheckRun.py:CheckRun:completed_at, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/CheckRun.py:CheckRun:conclusion, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/CheckRun.py:CheckRun:details_url, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/CheckRun.py:CheckRun:external_id, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/CheckRun.py:CheckRun:head_sha, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/CheckRun.py:CheckRun:html_url, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
PyGithub/github/CheckRun.py:CheckRun:id, method, self._completeIfNotSet, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: self:_completeIfNotSet
